Description,Designator,Footprint,K3 No.,Value,Quantity
"通用厚膜电阻,33R,+/-5%,R0402,1/16W.","R1100","R0402","","","1"
"通用厚膜电阻,0R,+/-5%,R0402,1/16W.","R1110","R0402","","","1"
"通用厚膜电阻,22R,+/-5%,R0402,1/16W.","R1301, R1808, R1809, R1810, R1811, R1812, R1813","R0402","","","7"
"通用厚膜电阻,133R,+/-1%,R0402,1/16W.","R1400","R0402","","","1"
"通用厚膜电阻,1R,+/-1%,R0603,1/10W.","R1401, R1702, R1703","R0603","","","3"
"厚膜低阻值电阻,0R1,+/-1%,R0603,1/10W.","R1402, R1403","R0603","","","2"
"通用厚膜电阻,2K,+/-1%,R0402,1/16W.","R1608, R1701","R0402","","","2"
"通用厚膜电阻,240R,+/-1%,R0402,1/16W.","R1900, R1901","R0402","","","2"
"通用厚膜电阻,1K,+/-1%,R0402,1/16W.","R1904, R1906","R0402","","","2"
"通用厚膜电阻,49R9,+/-1%,R0402,1/16W.","R1908, R1909","R0402","","","2"
"通用厚膜电阻,100R,+/-5%,R0402,1/16W.","R2100, R2101","RESC-0402","","","2"
"RES,GEN,68K,1%,62.5mW,0402","R2102","RESC-0402","1.1.1.01.01.371","68K","1"
"通用厚膜电阻,120K,+/-1%,R0402,1/16W.","R2103","RESC-0402","","","1"
"通用厚膜电阻,2K2,+/-5%,R0402,1/16W.","R2108, R2110","RESC-0402","","","2"
"通用厚膜电阻,110K,+/-1%,R0402,1/16W.","R2113","RESC-0402","","","1"
"通用厚膜电阻,49.9K,+/-1%,R0402,1/16W.","R2116","RESC-0402","","49.9k","1"
"RES,NET,33R,5%,62.5mW,0402_4","RN1, RN4, RN5","RESCA-0.5P-0402-8","1.1.1.01.01.324","33R","3"
"","SC1, SC2, SC3, SC4","SHIELD_CAN_CLIP$2F$PTV0703B","","SC / PTV0703B 屏蔽夹","4"
"","SC9, SC10, SC11, Z型金属弹片1, Z型金属弹片2, Z型金属弹片3, Z型金属弹片4","Z-shrapnel","1.1.2.276.009","Z型金属弹片","7"
"SPEAKER,94dB,400Hz-10KHz,50R,34MM","SPK1","SPK-3P-36*15.9","1.1.1.02.09.027","UGSP3750-06","1"
"TVS,5.0V,80W,2,SOD-923, TVS,3.3V,300mW,2,SOD-923","TVS1, TVS2, TVS3, TVS4, TVS5, TVS6, TVS7, TVS8, TVS9, TVS10","SOD-1*0.6","1.1.1.01.03.073","ESD9B5.0ST5G, SZESD9101P2T5G(ON Semi)","10"
"MPQ3367GR–AEC1-Z","U1","QFN-0.5P-4*4_HS-24N","","","1"
"IC ,MPQ4323GDE-AEC1-Z","U2","QFN12_MPQ4323_MNP","","","1"
"","U3","QFN-0.4P-7.5*7.5-64_HS","","","1"
"B1M family  32-bit ARM Cortex-M33 MCU with 1M pflash, 256K dflash and 128K SRAM, LQFP-64 package","U4","LQFP64_10X10","","","1"
